"","samplename","platform","label","obervations","batch","bigfamily","family","celltype","coarsegrain","finegrain","treatment","In","In_opt","In_opt2","FINAL"
"SRR7647696","SRR7647696","Illumina NovaSeq 6000","Bulk_B","no_treament","SRP156452","Immune","B","B.cells","B.cells","other","no","Test","No","Test","Test"
"SRR7647697","SRR7647697","Illumina NovaSeq 6000","Bulk_B","treatment1","SRP156452","Immune","B","B.cells","B.cells","other","yes","Test","No","Test","Test"
"SRR7647698","SRR7647698","Illumina NovaSeq 6000","Mem_B","no_treament","SRP156452","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Test","No","Test","Test"
"SRR7647699","SRR7647699","Illumina NovaSeq 6000","Mem_B","treatment1","SRP156452","Immune","B","memory.B.cells","B.cells","memory.B.cells","yes","Test","No","Test","Test"
"SRR7647700","SRR7647700","Illumina NovaSeq 6000","Naive_B","no_treament","SRP156452","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","Test","No","Test","Test"
"SRR7647731","SRR7647731","Illumina NovaSeq 6000","Bulk_B","no_treament","SRP156452","Immune","B","B.cells","B.cells","other","no","Test","No","Test","Test"
"SRR7647732","SRR7647732","Illumina NovaSeq 6000","Bulk_B","treatment1","SRP156452","Immune","B","B.cells","B.cells","other","yes","Test","No","Test","Test"
"SRR7647733","SRR7647733","Illumina NovaSeq 6000","Mem_B","treatment1","SRP156452","Immune","B","memory.B.cells","B.cells","memory.B.cells","yes","Test","No","Test","Test"
"SRR7647734","SRR7647734","Illumina NovaSeq 6000","Naive_B","treatment1","SRP156452","Immune","B","naive.B.cells","B.cells","naive.B.cells","yes","Test","No","Test","Test"
"SRR7647767","SRR7647767","Illumina NovaSeq 6000","Bulk_B","no_treament","SRP156452","Immune","B","B.cells","B.cells","other","no","Test","No","Test","Test"
"SRR7647768","SRR7647768","Illumina NovaSeq 6000","Mem_B","no_treament","SRP156452","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Test","No","Test","Test"
"SRR7647769","SRR7647769","Illumina NovaSeq 6000","Naive_B","no_treament","SRP156452","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","Test","No","Test","Test"
"SRR7647802","SRR7647802","Illumina HiSeq 4000","Naive_B","treatment2","SRP156452","Immune","B","naive.B.cells","B.cells","naive.B.cells","yes","Test","No","Test","Test"
"SRR7647807","SRR7647807","Illumina HiSeq 4000","Mem_B","no_treament","SRP156452","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Test","No","Test","Test"
"SRR7647808","SRR7647808","Illumina HiSeq 4000","Naive_B","no_treament","SRP156452","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","Test","No","Test","Test"
"SRR7647817","SRR7647817","Illumina HiSeq 4000","Naive_B","treatment2","SRP156452","Immune","B","naive.B.cells","B.cells","naive.B.cells","yes","Test","No","Test","Test"
"SRR11007071","SRR11007071","Illumina NovaSeq 6000","Effector_CD4pos_T","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007073","SRR11007073","Illumina NovaSeq 6000","Follicular_T_Helper","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007075","SRR11007075","Illumina NovaSeq 6000","Memory_Teffs","no_treament","SRP156452","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","Test","No","Test","Test"
"SRR11007077","SRR11007077","Illumina NovaSeq 6000","Memory_Tregs","no_treament","SRP156452","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","No","No","Test","Test"
"SRR11007079","SRR11007079","Illumina NovaSeq 6000","Naive_Teffs","no_treament","SRP156452","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","No","Test","Test"
"SRR11007081","SRR11007081","Illumina NovaSeq 6000","Naive_Tregs","no_treament","SRP156452","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Test","No","Test","Test"
"SRR11007082","SRR11007082","Illumina NovaSeq 6000","Regulatory_T","no_treament","SRP156452","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Test","No","Test","Test"
"SRR11007084","SRR11007084","Illumina NovaSeq 6000","Th1_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007086","SRR11007086","Illumina NovaSeq 6000","Th17_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007088","SRR11007088","Illumina NovaSeq 6000","Th2_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007106","SRR11007106","Illumina NovaSeq 6000","Follicular_T_Helper","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007108","SRR11007108","Illumina NovaSeq 6000","Memory_Teffs","no_treament","SRP156452","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","Test","No","Test","Test"
"SRR11007111","SRR11007111","Illumina NovaSeq 6000","Naive_Teffs","no_treament","SRP156452","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","No","Test","Test"
"SRR11007113","SRR11007113","Illumina NovaSeq 6000","Regulatory_T","no_treament","SRP156452","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Test","No","Test","Test"
"SRR11007115","SRR11007115","Illumina NovaSeq 6000","Th1_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007117","SRR11007117","Illumina NovaSeq 6000","Th17_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007119","SRR11007119","Illumina NovaSeq 6000","Th2_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007137","SRR11007137","Illumina NovaSeq 6000","Effector_CD4pos_T","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007139","SRR11007139","Illumina NovaSeq 6000","Follicular_T_Helper","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007141","SRR11007141","Illumina NovaSeq 6000","Memory_Teffs","no_treament","SRP156452","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","Test","No","Test","Test"
"SRR11007143","SRR11007143","Illumina NovaSeq 6000","Memory_Tregs","no_treament","SRP156452","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Test","No","Test","Test"
"SRR11007145","SRR11007145","Illumina NovaSeq 6000","Naive_Teffs","no_treament","SRP156452","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","No","Test","Test"
"SRR11007147","SRR11007147","Illumina NovaSeq 6000","Regulatory_T","no_treament","SRP156452","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Test","No","Test","Test"
"SRR11007149","SRR11007149","Illumina NovaSeq 6000","Th1_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007152","SRR11007152","Illumina NovaSeq 6000","Th17_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007154","SRR11007154","Illumina NovaSeq 6000","Th2_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007170","SRR11007170","Illumina NovaSeq 6000","Effector_CD4pos_T","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007172","SRR11007172","Illumina NovaSeq 6000","Follicular_T_Helper","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007174","SRR11007174","Illumina NovaSeq 6000","Memory_Teffs","no_treament","SRP156452","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","Test","No","Test","Test"
"SRR11007176","SRR11007176","Illumina NovaSeq 6000","Memory_Tregs","no_treament","SRP156452","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Test","No","Test","Test"
"SRR11007178","SRR11007178","Illumina NovaSeq 6000","Naive_Teffs","no_treament","SRP156452","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","No","Test","Test"
"SRR11007180","SRR11007180","Illumina NovaSeq 6000","Naive_Tregs","no_treament","SRP156452","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Test","No","Test","Test"
"SRR11007182","SRR11007182","Illumina NovaSeq 6000","Regulatory_T","no_treament","SRP156452","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Test","No","Test","Test"
"SRR7647809","SRR7647809","Illumina HiSeq 4000","Effector_CD4pos_T","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR7647811","SRR7647811","Illumina HiSeq 4000","Th1_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR7647812","SRR7647812","Illumina HiSeq 4000","Th17_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR7647813","SRR7647813","Illumina HiSeq 4000","Th2_precursors","no_treament","SRP156452","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Test","No","Test","Test"
"SRR11007061","SRR11007061","Illumina NovaSeq 6000","CD8pos_T","no_treament","SRP156452","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no","Test","No","Test","Test"
"SRR11007063","SRR11007063","Illumina NovaSeq 6000","Central_memory_CD8pos_T","no_treament","SRP156452","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007065","SRR11007065","Illumina NovaSeq 6000","Effector_memory_CD8pos_T","no_treament","SRP156452","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007067","SRR11007067","Illumina NovaSeq 6000","Naive_CD8_T","no_treament","SRP156452","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007096","SRR11007096","Illumina NovaSeq 6000","CD8pos_T","no_treament","SRP156452","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no","Test","No","Test","Test"
"SRR11007099","SRR11007099","Illumina NovaSeq 6000","Effector_memory_CD8pos_T","no_treament","SRP156452","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007102","SRR11007102","Illumina NovaSeq 6000","Naive_CD8_T","no_treament","SRP156452","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007127","SRR11007127","Illumina NovaSeq 6000","CD8pos_T","no_treament","SRP156452","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no","Test","No","Test","Test"
"SRR11007129","SRR11007129","Illumina NovaSeq 6000","Central_memory_CD8pos_T","no_treament","SRP156452","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007131","SRR11007131","Illumina NovaSeq 6000","Effector_memory_CD8pos_T","no_treament","SRP156452","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007133","SRR11007133","Illumina NovaSeq 6000","Naive_CD8_T","no_treament","SRP156452","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007160","SRR11007160","Illumina NovaSeq 6000","CD8pos_T","no_treament","SRP156452","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no","Test","No","Test","Test"
"SRR11007162","SRR11007162","Illumina NovaSeq 6000","Central_memory_CD8pos_T","no_treament","SRP156452","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007164","SRR11007164","Illumina NovaSeq 6000","Effector_memory_CD8pos_T","no_treament","SRP156452","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007166","SRR11007166","Illumina NovaSeq 6000","Naive_CD8_T","no_treament","SRP156452","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","Test","No","Test","Test"
"SRR11007092","SRR11007092","Illumina NovaSeq 6000","Monocytes","no_treament","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no","Test","No","Test","Test"
"SRR11007093","SRR11007093","Illumina NovaSeq 6000","Monocytes","treatment1","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","yes","Test","No","Test","Test"
"SRR11007094","SRR11007094","Illumina NovaSeq 6000","Myeloid_DCs","no_treament","SRP156452","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","Test","No","Test","Test"
"SRR11007124","SRR11007124","Illumina NovaSeq 6000","Monocytes","no_treament","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no","Test","No","Test","Test"
"SRR11007125","SRR11007125","Illumina NovaSeq 6000","Monocytes","treatment1","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","yes","Test","No","Test","Test"
"SRR11007126","SRR11007126","Illumina NovaSeq 6000","Myeloid_DCs","no_treament","SRP156452","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","Test","No","Test","Test"
"SRR11007158","SRR11007158","Illumina NovaSeq 6000","Monocytes","no_treament","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no","Test","No","Test","Test"
"SRR11007159","SRR11007159","Illumina NovaSeq 6000","Monocytes","treatment1","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","yes","Test","No","Test","Test"
"SRR11007188","SRR11007188","Illumina NovaSeq 6000","Monocytes","no_treament","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no","Test","No","Test","Test"
"SRR11007189","SRR11007189","Illumina NovaSeq 6000","Monocytes","treatment1","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","yes","Test","No","Test","Test"
"SRR11007190","SRR11007190","Illumina NovaSeq 6000","Myeloid_DCs","no_treament","SRP156452","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","Test","No","Test","Test"
"SRR11007192","SRR11007192","Illumina HiSeq 4000","Monocytes","treatment2","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","yes","Test","No","Test","Test"
"SRR7647801","SRR7647801","Illumina HiSeq 4000","Monocytes","treatment2","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","yes","Test","No","Test","Test"
"SRR7647819","SRR7647819","Illumina HiSeq 4000","Monocytes","treatment2","SRP156452","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","yes","Test","No","Test","Test"
"SRR11007090","SRR11007090","Illumina NovaSeq 6000","Mature_NK","no_treament","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","no","Test","No","Test","Test"
"SRR11007091","SRR11007091","Illumina NovaSeq 6000","Mature_NK","treatment1","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","yes","Test","No","Test","Test"
"SRR11007121","SRR11007121","Illumina NovaSeq 6000","Mature_NK","no_treament","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","no","Test","No","Test","Test"
"SRR11007122","SRR11007122","Illumina NovaSeq 6000","Mature_NK","treatment1","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","yes","Test","No","Test","Test"
"SRR11007123","SRR11007123","Illumina NovaSeq 6000","Memory_NK","no_treament","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","no","Test","No","Test","Test"
"SRR11007156","SRR11007156","Illumina NovaSeq 6000","Mature_NK","no_treament","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","no","Test","No","Test","Test"
"SRR11007157","SRR11007157","Illumina NovaSeq 6000","Mature_NK","treatment1","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","yes","Test","No","Test","Test"
"SRR11007186","SRR11007186","Illumina NovaSeq 6000","Mature_NK","no_treament","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","no","Test","No","Test","Test"
"SRR11007187","SRR11007187","Illumina NovaSeq 6000","Mature_NK","treatment1","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","yes","Test","No","Test","Test"
"SRR11007191","SRR11007191","Illumina HiSeq 4000","Mature_NK","treatment2","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","yes","Test","No","Test","Test"
"SRR11007193","SRR11007193","Illumina HiSeq 4000","Immature_NK","no_treament","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","no","Test","No","Test","Test"
"SRR11007194","SRR11007194","Illumina HiSeq 4000","Mature_NK","treatment2","SRP156452","Immune","NK","NK.cells","NK.cells","NK.cells","yes","Test","No","Test","Test"
"SRR11007069","SRR11007069","Illumina NovaSeq 6000","Gamma_delta_T","no_treament","SRP156452","Immune","GD","gdTCR","other","other","no","Test","No","Test","Test"
"SRR11007070","SRR11007070","Illumina NovaSeq 6000","Gamma_delta_T","treatment1","SRP156452","Immune","GD","gdTCR","other","other","yes","No","No","No","Test"
"SRR11007095","SRR11007095","Illumina NovaSeq 6000","pDCs","no_treament","SRP156452","Immune","MYELOID","plasmacytoid.DC","other","other","no","Test","No","Test","Test"
"SRR11007104","SRR11007104","Illumina NovaSeq 6000","Gamma_delta_T","no_treament","SRP156452","Immune","GD","gdTCR","other","other","no","Test","No","Test","Test"
"SRR11007135","SRR11007135","Illumina NovaSeq 6000","Gamma_delta_T","no_treament","SRP156452","Immune","GD","gdTCR","other","other","no","Test","No","Test","Test"
"SRR11007136","SRR11007136","Illumina NovaSeq 6000","Gamma_delta_T","treatment1","SRP156452","Immune","GD","gdTCR","other","other","yes","Test","No","No","Test"
"SRR11007168","SRR11007168","Illumina NovaSeq 6000","Gamma_delta_T","no_treament","SRP156452","Immune","GD","gdTCR","other","other","no","Test","No","Test","Test"
"SRR11007169","SRR11007169","Illumina NovaSeq 6000","Gamma_delta_T","treatment1","SRP156452","Immune","GD","gdTCR","other","other","yes","Test","No","No","Test"
"SRR8088187","SRR8088187","Illumina HiSeq 2500","human vulval carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088188","SRR8088188","Illumina HiSeq 2500","human vulval carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088189","SRR8088189","Illumina HiSeq 2500","human vulval carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088190","SRR8088190","Illumina HiSeq 2500","human vulval carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088191","SRR8088191","Illumina HiSeq 2500","human vulval carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088192","SRR8088192","Illumina HiSeq 2500","human vulval carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088193","SRR8088193","Illumina HiSeq 2500","human oral carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088194","SRR8088194","Illumina HiSeq 2500","human oral carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088195","SRR8088195","Illumina HiSeq 2500","human oral carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088196","SRR8088196","Illumina HiSeq 2500","human cervical carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088197","SRR8088197","Illumina HiSeq 2500","human cervical carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088198","SRR8088198","Illumina HiSeq 2500","human cervical carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088199","SRR8088199","Illumina HiSeq 2500","human metastatic melanoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088200","SRR8088200","Illumina HiSeq 2500","human metastatic melanoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088201","SRR8088201","Illumina HiSeq 2500","human breast carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8088202","SRR8088202","Illumina HiSeq 2500","human breast carcinoma fibroblast","no_treament","SRP166344","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR8404142","SRR8404142","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404143","SRR8404143","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404144","SRR8404144","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404145","SRR8404145","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404146","SRR8404146","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404147","SRR8404147","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404148","SRR8404148","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404149","SRR8404149","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404150","SRR8404150","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404151","SRR8404151","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404152","SRR8404152","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR8404153","SRR8404153","Illumina HiSeq 4000","J7 differetiated macrophages","no_treament","SRP176434","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR10983473","SRR10983473","Illumina HiSeq 2500","Clec9A+CD141+ cDC1","no_treament","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR10983474","SRR10983474","Illumina HiSeq 2500","Clec9A+CD141+ cDC1","no_treament","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR10983475","SRR10983475","Illumina HiSeq 2500","Clec9A+CD141+ cDC2","no_treament","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR10983476","SRR10983476","Illumina HiSeq 2500","CD1c+ cDC2","no_treament","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR10983477","SRR10983477","Illumina HiSeq 2500","CD1c+ cDC2","no_treament","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR10983478","SRR10983478","Illumina HiSeq 2500","CD1c+ cDC2","no_treament","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR10983479","SRR10983479","Illumina HiSeq 2500","Clec9A+CD141+ cells","Co-cultured with MS5_FS12","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR10983480","SRR10983480","Illumina HiSeq 2500","Clec9A+CD141+ cells","Co-cultured with MS5_FS12","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR10983481","SRR10983481","Illumina HiSeq 2500","Clec9A+CD141+ cells","Co-cultured with MS5_FS12","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR10983482","SRR10983482","Illumina HiSeq 2500","CD1c+ CD206- cells","Co-cultured with MS5_FS12","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR10983483","SRR10983483","Illumina HiSeq 2500","CD1c+ CD206- cells","Co-cultured with MS5_FS12","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR10983484","SRR10983484","Illumina HiSeq 2500","CD1c+ CD206- cells","Co-cultured with MS5_FS12","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR10983485","SRR10983485","Illumina HiSeq 2500","CD1c+ CD206+ cells","Co-cultured with MS5_FS12","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR10983486","SRR10983486","Illumina HiSeq 2500","CD1c+ CD206+ cells","Co-cultured with MS5_FS12","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
